NAME,DATE,REVIEW_BODY,PROFILE_PIC,RATINGS_ID
Ms. Chester Carroll,October 2008,Eaque harum error non vel aut. In architecto perspiciatis sint. Totam non aut iure natus exercitationem totam corrupti. Sed reiciendis rerum rerum. Sed culpa itaque vel perferendis quae in fugiat. Necessitatibus rerum eligendi ex sit temporibus magni.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,1
Mrs. Andre Purdy,April 2016,Voluptatem maxime quos expedita incidunt aspernatur asperiores voluptatem numquam illum. Ut iste accusantium quis optio eius consequuntur consequatur vel. Ut dolores nostrum atque vitae. Autem recusandae quis doloribus et delectus inventore. Ut ex autem.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,1
Roy Russel,January 2018,Reiciendis veritatis rem qui sunt repudiandae non beatae quis. Vel inventore dolor ratione aspernatur. Ad consequatur debitis. Sunt minus ea quia ea ad laudantium voluptatem.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,1
Jordan Ankunding,May 2008,Hic molestiae corrupti qui laboriosam et aperiam. Dolorem placeat eum aut. Sequi impedit nihil voluptate libero praesentium nisi facilis eligendi.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,1
Wm Spinka,December 2012,Quo magni velit labore. Ab at nesciunt. Nihil illum ut vero nobis non aut nostrum qui. Dignissimos assumenda minus. Soluta et quibusdam ut consequuntur laudantium beatae ea.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,1
Arlene Thompson,May 2016,Impedit natus nisi earum laborum dicta. A officiis rerum impedit harum libero occaecati eum ut deleniti. Aspernatur porro facilis repellendus impedit qui tempore sapiente. Minus unde assumenda perspiciatis nulla molestiae ut illo ullam.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,2
Margarita Hansen,September 2019,Quod illo est odio. Nobis aut natus sapiente et est cum officia qui omnis. Occaecati quia pariatur veniam ut earum. Dolorum deserunt quod officiis nam et quia. Consequatur necessitatibus tempore voluptatem at ut. Beatae saepe eligendi aut natus laborum asperiores sed consequatur fuga.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,2
Velma Smith,February 2020,Fugiat sit debitis est a et est voluptatibus et facilis. Expedita dolore voluptatum expedita velit doloremque. Ipsam dolorum autem quia velit consectetur quia eius eum explicabo.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,2
Arturo Harber,April 2019,Porro expedita quis ea eaque consequuntur maxime. Aliquam rem placeat at pariatur earum ut fuga. Ex non voluptas autem quae consequatur inventore doloremque possimus eaque.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,2
Carrie Adams,July 2018,Non iusto aut iure eius quo ex eos. Ea vitae laborum quia aut sit numquam. Pariatur repudiandae deleniti impedit voluptatem deleniti eligendi illo tenetur. Ipsum et ut facere earum libero ut. Assumenda occaecati rerum numquam qui. Odit facilis veritatis aut sint architecto.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,2
